pl_name,hostname,sy_snum,sy_pnum,sy_mnum,pl_orbper,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,st_teff,disc_year,sy_dist
Kepler-338 e,Kepler-338,1,4,0,9.341,1.56,8.5,12.3,0.05,428.524,1143.0,5999.0,2014,552.798
Kepler-33 e,Kepler-33,1,5,0,31.7844,4.02,5.57,0.8,0.0,74.72,752.0,5904.0,2011,1209.16
Kepler-33 b,Kepler-33,1,5,0,5.66793,1.74,3.68,3.84,0.0,744.011,1336.0,5904.0,2011,1209.16
Kepler-46 c,Kepler-46,1,3,0,57.011,13.5,119.499,0.267,0.0146,,455.0,5155.0,2012,777.06
Kepler-318 b,Kepler-318,1,2,0,4.662715,4.71,19.9,1.05,0.0,333.149,1039.0,5746.0,2014,489.141
Kepler-314 b,Kepler-314,1,2,0,2.461069,0.83,0.498,4.79,0.0,488.674,1195.0,5378.0,2014,268.881
Kepler-46 b,Kepler-46,1,3,0,33.60134,9.057,1907.0,14.0,0.01,10.9,543.0,5155.0,2012,777.06
Kepler-130 c,Kepler-130,2,3,0,27.50868,2.9,8.75,1.97,0.0,46.011,683.0,5879.0,2014,316.663
Kepler-33 f,Kepler-33,1,5,0,41.02902,4.46,9.6,0.9,0.0,53.183,691.0,5904.0,2011,1209.16
Kepler-33 d,Kepler-33,1,5,0,21.77596,5.35,3.91,0.25,0.0,123.691,853.0,5904.0,2011,1209.16
Kepler-52 b,Kepler-52,1,3,0,7.8773565,2.1,135.0,3.35,0.0,22.72,553.0,4075.0,2012,321.542
Kepler-58 b,Kepler-58,1,4,0,10.2184954,2.78,35.5,10.1,0.04,112.992,920.0,5843.0,2012,969.252
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,0,10037.5,12.4,3337.1,9.62,,,370.0,580.5,2011,23.1
Kepler-269 b,Kepler-269,1,2,0,5.326718,2.47,6.66,2.43,0.0,604.9,1007.0,5847.0,2014,2257.32
Kepler-300 c,Kepler-300,1,2,0,40.714955,2.25,5.69,2.74,0.0,43.248,516.0,5986.0,2014,1098.45
Kepler-149 d,Kepler-149,1,3,0,160.018032,3.96,14.9,1.32,0.0,2.446,306.0,5381.0,2014,571.034
Kepler-124 d,Kepler-124,1,3,0,30.950851,1.11,1.41,5.67,0.0,10.499,428.0,4984.0,2014,420.046
Kepler-276 d,Kepler-276,1,3,0,48.648,2.8,16.3,0.76,0.0,11.274,489.0,5693.0,2013,1144.86
Kepler-114 c,Kepler-114,1,3,0,8.041,1.6,2.8,1.18,0.0,51.623,507.0,4660.0,2013,259.533
Kepler-297 b,Kepler-297,1,3,0,38.871826,2.87,48.5,11.3,0.0,16.464,509.0,5619.0,2014,692.14
WASP-83 b,WASP-83,1,1,0,4.971252,11.65736,95.349,0.35,0.0,238.875,1120.0,5510.0,2015,271.103
WASP-89 b,WASP-89,1,1,0,3.3564227,11.65736,1875.197,7.0,0.193,278.8533,1120.0,5130.0,2015,290.946
Kepler-402 c,Kepler-402,1,4,0,6.124821,1.56,3.05,4.41,0.0,353.973,1140.0,6090.0,2014,625.339
Kepler-157 b,Kepler-157,1,3,0,1.732342,1.32,2.3,5.5,0.0,1572.309,1546.0,5774.0,2014,773.713
HATS-6 b,HATS-6,1,1,0,3.3252725,11.186582,101.38777,0.399,0.0,47.3315,712.8,3724.0,2015,169.318
Kepler-450 c,Kepler-450,1,3,0,15.413135,2.62,12.5,8.8,0.02,213.731,944.0,6197.21,2015,455.982
Kepler-81 c,Kepler-81,1,3,0,12.04,2.37,4.3,1.77,0.0,15.62,502.0,4385.0,2012,348.291
Kepler-412 b,Kepler-412,1,1,0,1.7208604,15.031269,299.07803,0.52,0.0038,2144.307,1850.0,5750.0,2014,1086.24
Kepler-92 b,Kepler-92,1,3,0,13.749,3.51,64.3,2.098071,0.17,257.776,975.0,5883.0,2013,477.992
Kepler-288 c,Kepler-288,1,3,0,19.305772,2.85,8.5,2.02,0.0,53.148,815.0,5918.0,2014,1194.15
